Timeline,Start time,Duration,Row,Instance number,#1 Kamran Prince,#10 Adrian Samuels,#12 Geoff Sprouse,#13 Carson McDonald,#16 Luke Brown,#23 Greg Jones,#3 Dean Hogans,#32 Julen Iturbe,#33 Matt Mayock,#35 Chris Eagan,#4 Kade Sebastian,#7 Wyatt Nausadis,#8 Jack Anderson,Result,Shooter,Shot Clock,Shot Contest,Shot Location,Shot Type,Ungrouped,Notes,Flags
Practice #4 - Shots,6480.739455176489,13.0,Shots,21,,,,,,,,,,,,,,Made 2,#33 Matt Mayock,22+,Lightly Contested,Rim,Layup,,,
Practice #4 - Shots,6549.054441274489,13.0,Shots,22,,,,,,,,,,,,,,Made 2,#23 Greg Jones,22+,Highly Contested,Rim,Layup,,,
Practice #4 - Shots,6629.834381051489,13.0,Shots,23,,,,,,,,,,,,,,Made 3,#33 Matt Mayock,21-11,Wide Open,Left Corner 3,Catch & Shoot,,,
Practice #4 - Shots,6919.300299551489,13.0,Shots,24,,,,,,,,,,,,,,Miss 2,#10 Adrian Samuels,22+,Highly Contested,Rim,Layup,,,
Practice #4 - Shots,6921.025796426489,13.0,Shots,25,,,,,,,,,,,,,,Made 2,#10 Adrian Samuels,22+,Wide Open,Rim,Putback,,,
Practice #4 - Shots,6935.072604718489,13.0,Shots,26,,,,,,,,,,,,,,Miss 2,#16 Luke Brown,21-11,Lightly Contested,Close Shot Right,Catch & Shoot,,,
Practice #4 - Shots,7025.739335718489,13.0,Shots,27,,,,,,,,,,,,,,Miss 2,#23 Greg Jones,21-11,Lightly Contested,Top of Key 2,Fadeaway,,,
Practice #4 - Shots,7039.481455259489,13.0,Shots,28,,,,,,,,,,,,,,Miss 2,#33 Matt Mayock,21-11,Highly Contested,Close Shot Right,Floater,,,
Practice #4 - Shots,7115.945266093489,13.0,Shots,29,,,,,,,,,,,,,,Miss 3,#33 Matt Mayock,5-0,Lightly Contested,Right Corner 3,Catch & Shoot,,,
Practice #4 - Shots,7117.445850510489,13.0,Shots,30,,,,,,,,,,,,,,,,,,,,,,
Practice #4 - Shots,7129.7288576354895,13.0,Shots,31,,,,,,,,,,,,,,Miss 3,#33 Matt Mayock,21-11,Lightly Contested,Right Corner 3,Catch & Shoot,,,
Practice #4 - Shots,7147.014587259489,13.0,Shots,32,,,,,,,,,,,,,,Miss 3,#7 Wyatt Nausadis,21-11,Lightly Contested,Left Corner 3,Catch & Shoot,,,
Practice #4 - Shots,7282.585845009489,13.0,Shots,33,,,,,,,,,,,,,,Miss 3,#32 Julen Iturbe,21-11,Highly Contested,Right Wing 3,Catch & Shoot,,,
Practice #4 - Shots,7374.014708592489,13.0,Shots,34,,,,,,,,,,,,,,Miss 3,#12 Geoff Sprouse,22+,Lightly Contested,Top of Key 3,Catch & Shoot,,,
Practice #4 - Shots,7396.370793135489,13.0,Shots,35,,,,,,,,,,,,,,Miss 2,#23 Greg Jones,5-0,Highly Contested,Close Shot Middle,Fadeaway,,,
Practice #4 - Shots,7506.760060717489,13.0,Shots,36,,,,,,,,,,,,,,Made 2,#12 Geoff Sprouse,21-11,Lightly Contested,Close Shot Right,Pullup,,,
Practice #4 - Shots,7675.680791635489,13.0,Shots,37,,,,,,,,,,,,,,Made 2,#10 Adrian Samuels,10-6,Wide Open,Rim,Layup,,,
Practice #4 - Shots,7687.21868609349,13.0,Shots,38,,,,,,,,,,,,,,Miss 2,#16 Luke Brown,22+,Highly Contested,Close Shot Middle,Catch & Shoot,,,
Practice #4 - Shots,7773.4982775094895,13.0,Shots,39,,,,,,,,,,,,,,Miss 3,#10 Adrian Samuels,5-0,Wide Open,Right Corner 3,Catch & Shoot,,,
