Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Deflection,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-21 American vs Colgate (2),4335.94,8.0,American Shots,42,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),4385.595,8.0,American Shots,43,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,5-0,,Highly Contested,Close Shot Right,Hook,,,,,,,,
2026-01-21 American vs Colgate (2),4434.831,8.0,American Shots,44,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Rim,Hook,,,,,,,,
2026-01-21 American vs Colgate (2),4490.974,8.0,American Shots,45,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),4496.223,8.0,American Shots,46,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),4559.393,8.0,American Shots,47,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,5-0,,Lightly Contested,Right Wing 3,Pullup,,,,,,,,
2026-01-21 American vs Colgate (2),4781.098,8.0,American Shots,48,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),4871.577,8.0,American Shots,49,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,5-0,,Lightly Contested,Close Shot Right,Pullup,,,,,,,,
2026-01-21 American vs Colgate (2),4927.005,8.0,American Shots,50,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,10-6,,Lightly Contested,Close Shot Left,Fadeaway,,,,,,,,
2026-01-21 American vs Colgate (2),4999.874,8.0,American Shots,51,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),5132.521,8.0,American Shots,52,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,5-0,,Lightly Contested,Right Wing 3,Other,,,,,,,,
2026-01-21 American vs Colgate (2),5328.599,8.0,American Shots,53,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Top of Key 3,Pullup,,,,,,,,
2026-01-21 American vs Colgate (2),5412.01,8.0,American Shots,54,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,5-0,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),5416.125,8.0,American Shots,55,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),5526.159,8.0,American Shots,56,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Blocked,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-21 American vs Colgate (2),5622.787,8.0,American Shots,57,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,21-11,,Lightly Contested,Close Shot Left,Layup,,,,,,,,
2026-01-21 American vs Colgate (2),5726.974,8.0,American Shots,58,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
