Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Deflection,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-18 Rutgers vs American,675.424,8.0,American Shots,11,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,742.478,8.0,American Shots,12,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,21-11,,Wide Open,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,773.744,8.0,American Shots,13,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,842.929,8.0,American Shots,14,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,885.365,8.0,American Shots,15,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,1105.958,8.0,American Shots,16,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Blocked,Close Shot Left,Layup,,,,,,,,
2025-11-18 Rutgers vs American,1137.143,8.0,American Shots,17,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#3 Dean Hogans,,,,5-0,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,1190.838,8.0,American Shots,18,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,1214.434,8.0,American Shots,19,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2025-11-18 Rutgers vs American,1254.683,8.0,American Shots,20,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Wide Open,Top of Key 3,Catch & Shoot,,,,,,,,
