Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-12 George Washington vs American,658.371,8.0,American Shots,11,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,702.848,8.0,American Shots,12,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Close Shot Middle,Floater,,,,,,,,
2025-11-12 George Washington vs American,761.975,8.0,American Shots,13,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,779.937,8.0,American Shots,14,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,851.014,8.0,American Shots,15,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#4 Kade Sebastian,,,,10-6,,Wide Open,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,1122.51,8.0,American Shots,16,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,5-0,,Wide Open,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-12 George Washington vs American,1206.75,8.0,American Shots,17,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,10-6,,Highly Contested,Close Shot Right,Fadeaway,,,,,,,,
2025-11-12 George Washington vs American,1224.471,8.0,American Shots,18,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,1268.834,8.0,American Shots,19,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,1274.527,8.0,American Shots,20,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,1679.511,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,1825.638,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,1856.742,8.0,American Shots,23,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Left,Layup,,,,,,,,
2025-11-12 George Washington vs American,1862.138,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2025-11-12 George Washington vs American,1885.896,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2025-11-12 George Washington vs American,1944.384,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,10-6,,Highly Contested,Close Shot Right,Layup,,,,,,,,
2025-11-12 George Washington vs American,2035.274,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#13 Carson McDonald,,,,21-11,,Highly Contested,Close Shot Middle,Other,,,,,,,,
