Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-18 Army vs American (1),2534.054,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),2679.393,8.0,American Shots,32,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),3107.308,8.0,American Shots,33,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-18 Army vs American (1),3427.453,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,10-6,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-18 Army vs American (1),3463.859,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Close Shot Left,Fadeaway,,,,,,,,
2026-01-18 Army vs American (1),3510.879,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-18 Army vs American (1),3533.71,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2026-01-18 Army vs American (1),3581.333,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2026-01-18 Army vs American (1),3582.955,8.0,American Shots,39,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-18 Army vs American (1),3618.234,8.0,American Shots,40,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Rim,Floater,,,,,,,,
