Timeline,Start time,Duration,Row,Instance number,Assist,Block,Contested,Dribble Move,Foul,Half Court Defense Type,Opponent Team,Period,Play Characteristics,Result,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Team,Ungrouped,Notes,Flags
AU Shots,1040.693,8.0,American Shots,14,,,,,No Foul,,,,,Made 2,#35 Chris Eagan,,,,10-6,,Highly Contested,Rim,Layup,,,,
AU Shots,1101.563,8.0,American Shots,15,,,,,No Foul,,,,,Miss 3,#33 Matt Mayock,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,1114.84,8.0,American Shots,16,,,,,No Foul,,,,,Made 2,#23 Greg Jones,,,,10-6,,Lightly Contested,Rim,Layup,,,,
AU Shots,1202.805,8.0,American Shots,17,,,,,No Foul,,,,,Made 2,#32 Julen Iturbe,,,,21-11,,Highly Contested,Close Shot Left,Fadeaway,,,,
AU Shots,1236.916,8.0,American Shots,18,,,,,No Foul,,,,,Miss 3,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,
AU Shots,1322.21,8.0,American Shots,19,,,,,No Foul,,,,,Made 3,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,
AU Shots,1363.965,8.0,American Shots,20,,,,,No Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,21-11,,Lightly Contested,Close Shot Left,Pullup,,,,
AU Shots,1577.043,8.0,American Shots,21,,,,,No Foul,,,,,Miss 2,#35 Chris Eagan,,,,10-6,,Highly Contested,Close Shot Right,Hook,,,,
AU Shots,1669.248,8.0,American Shots,22,,,,,No Foul,,,,,Miss 3,#4 Kade Sebastian,,,,22+,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,
AU Shots,1790.762,8.0,American Shots,23,,,,,Foul,,,,,Miss 2,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Middle,Floater,,,,
AU Shots,1898.807,8.0,American Shots,24,,,,,No Foul,,,,,Made 3,#32 Julen Iturbe,,,,21-11,,Wide Open,Right Wing 3,Pullup,,,,
AU Shots,1951.103,8.0,American Shots,25,,,,,No Foul,,,,,Made 3,#23 Greg Jones,,,,10-6,,Lightly Contested,Top of Key 3,Pullup,,,,
AU Shots,1981.686,8.0,American Shots,26,,,,,No Foul,,,,,Miss 2,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,2179.893,8.0,American Shots,27,,,,,No Foul,,,,,Made 2,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Layup,,,,
AU Shots,2234.796,8.0,American Shots,28,,,,,No Foul,,,,,Miss 3,#2 Madden Collins,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,
AU Shots,2286.704,8.0,American Shots,29,,,,,No Foul,,,,,Made 3,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,
AU Shots,2562.167,8.0,American Shots,30,,,,,No Foul,,,,,Miss 3,#33 Matt Mayock,,,,5-0,,Lightly Contested,Top of Key 3,Pullup,,,,
AU Shots,2660.944,8.0,American Shots,31,,,,,No Foul,,,,,Miss 3,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,
