Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-28 Loyola (MD) vs American,2272.851,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#16 Luke Brown,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,2432.769,8.0,American Shots,29,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,2550.232,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,2774.241,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,2818.37,8.0,American Shots,32,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,5-0,,Highly Contested,Top of Key 2,Fadeaway,,,,,,,,
2026-01-28 Loyola (MD) vs American,2904.134,8.0,American Shots,33,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,2951.66,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#2 Madden Collins,,,,5-0,,Lightly Contested,Right Wing 3,Step Back,,,,,,,,
2026-01-28 Loyola (MD) vs American,3048.848,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,3077.243,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,3110.343,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,3607.861,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Hook,,,,,,,,
2026-01-28 Loyola (MD) vs American,3672.951,8.0,American Shots,39,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Close Shot Right,Hook,,,,,,,,
2026-01-28 Loyola (MD) vs American,3743.018,8.0,American Shots,40,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,3925.173,8.0,American Shots,41,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,3972.873,8.0,American Shots,42,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2026-01-28 Loyola (MD) vs American,4193.506,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#3 Dean Hogans,,,,10-6,,Blocked,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,4219.344,8.0,American Shots,44,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,22+,,Lightly Contested,Close Shot Middle,Hook,,,,,,,,
2026-01-28 Loyola (MD) vs American,4310.7,8.0,American Shots,45,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Blocked,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,4354.632,8.0,American Shots,46,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,4618.341,8.0,American Shots,47,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,4816.479,8.0,American Shots,48,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#35 Chris Eagan,,,,10-6,,Wide Open,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,4917.063,8.0,American Shots,49,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,22+,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
