Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Deflection,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-24 Holy Cross vs American (1),3864.968,8.0,American Shots,49,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,5-0,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),4117.326,8.0,American Shots,50,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),4153.634,8.0,American Shots,51,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Right Wing 3,Pullup,,,,,,,,
2026-01-24 Holy Cross vs American (1),4307.386,8.0,American Shots,52,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),4345.978,8.0,American Shots,53,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,10-6,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),4629.279,8.0,American Shots,54,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),4667.621,8.0,American Shots,55,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),4727.881,8.0,American Shots,56,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,10-6,,Lightly Contested,Top of Key 2,Pullup,,,,,,,,
2026-01-24 Holy Cross vs American (1),4807.265,8.0,American Shots,57,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,5-0,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-24 Holy Cross vs American (1),5154.992,8.0,American Shots,58,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Close Shot Right,Fadeaway,,,,,,,,
2026-01-24 Holy Cross vs American (1),5225.515,8.0,American Shots,59,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Left Wing 3,Step Back,,,,,,,,
2026-01-24 Holy Cross vs American (1),5397.433,8.0,American Shots,60,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-24 Holy Cross vs American (1),5455.346,8.0,American Shots,61,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
