Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-31 American vs Lafayette,3013.208,8.0,American Shots,40,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Highly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,3310.125,8.0,American Shots,41,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,3350.073,8.0,American Shots,42,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#3 Dean Hogans,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,3386.767,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,3496.047,8.0,American Shots,44,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#3 Dean Hogans,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,3851.788,8.0,American Shots,45,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Highly Contested,Close Shot Middle,Hook,,,,,,,,
2026-01-31 American vs Lafayette,3904.347,8.0,American Shots,46,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,3967.645,8.0,American Shots,47,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Wide Open,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,4163.845,8.0,American Shots,48,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,4403.27,8.0,American Shots,49,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,4462.34,8.0,American Shots,50,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,4663.469,8.0,American Shots,51,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,4669.643,8.0,American Shots,52,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,4741.042,8.0,American Shots,53,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,4826.076,8.0,American Shots,54,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Highly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,4935.697,8.0,American Shots,55,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Left Wing 3,Step Back,,,,,,,,
2026-01-31 American vs Lafayette,5235.25,8.0,American Shots,56,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,5340.43,8.0,American Shots,57,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#33 Matt Mayock,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-31 American vs Lafayette,5572.837,8.0,American Shots,58,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,5610.126,8.0,American Shots,59,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-31 American vs Lafayette,5866.727,8.0,American Shots,60,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2026-01-31 American vs Lafayette,5869.527,8.0,American Shots,61,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Floater,,,,,,,,
