Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-02-04 American vs Bucknell,3142.712,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,5-0,,Highly Contested,Left Wing 3,Step Back,,,,,,,,
2026-02-04 American vs Bucknell,3190.105,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,3220.62,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,3270.473,8.0,American Shots,39,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Highly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,3292.886,8.0,American Shots,40,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,22+,,Highly Contested,Close Shot Right,Fadeaway,,,,,,,,
2026-02-04 American vs Bucknell,3322.285,8.0,American Shots,41,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,3613.396,8.0,American Shots,42,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,3941.407,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,5-0,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,4181.054,8.0,American Shots,44,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,4291.938,8.0,American Shots,45,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,5-0,,Lightly Contested,Close Shot Middle,Floater,,,,,,,,
2026-02-04 American vs Bucknell,4330.566,8.0,American Shots,46,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,4409.929,8.0,American Shots,47,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,5-0,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,4445.914,8.0,American Shots,48,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Right,Floater,,,,,,,,
2026-02-04 American vs Bucknell,4449.376,8.0,American Shots,49,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,4652.147,8.0,American Shots,50,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,5-0,,Lightly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,4841.224,8.0,American Shots,51,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,4885.46,8.0,American Shots,52,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Right Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,4960.489,8.0,American Shots,53,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2026-02-04 American vs Bucknell,5008.588,8.0,American Shots,54,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Top of Key 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,5132.432,8.0,American Shots,55,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,5-0,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,5175.632,8.0,American Shots,56,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#23 Greg Jones,,,,10-6,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,5469.364,8.0,American Shots,57,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Close Shot Middle,Floater,,,,,,,,
2026-02-04 American vs Bucknell,5574.769,8.0,American Shots,58,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,5-0,,Highly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,5679.746,8.0,American Shots,59,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,5683.397,8.0,American Shots,60,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-02-04 American vs Bucknell,5855.646,8.0,American Shots,61,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,5-0,,Wide Open,Top of Key 3,Pullup,,,,,,,,
