Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-12-06 American vs Maryland-Eastern Shore,2795.186,8.0,American Shots,37,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2802.512,8.0,American Shots,38,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Right Corner 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2862.721,8.0,American Shots,39,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,22+,,Wide Open,Left Corner 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,2901.218,8.0,American Shots,40,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Floater,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,3098.485,8.0,American Shots,41,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#12 Geoff Sprouse,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,3103.334,8.0,American Shots,42,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#3 Dean Hogans,,,,22+,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,3148.314,8.0,American Shots,43,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,3189.859,8.0,American Shots,44,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Wide Open,Left Corner 3,Catch & Shoot,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,3317.938,8.0,American Shots,45,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Rim,Layup,,,,,,,,
2025-12-06 American vs Maryland-Eastern Shore,3358.424,8.0,American Shots,46,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,21-11,,Highly Contested,Close Shot Middle,Hook,,,,,,,,
